-4748.10, -917.90
-4748.10, -717.90
-4748.10, -317.90
-4748.10, -117.90
-4548.10, -117.90
-4548.10, -317.90
-4548.10, -517.90
-4548.10, -717.90
-4548.10, -917.90
-4348.10, -1117.90
-4348.10, -917.90
-4348.10, -717.90
-4348.10, -517.90
-4348.10, -317.90
-4348.10, -117.90
-4348.10, 82.10
-4148.10, 82.10
-4148.10, -117.90
-4148.10, -317.90
-4148.10, -517.90
-4148.10, -717.90
-4148.10, -917.90
-4148.10, -1117.90
-3948.10, -1117.90
-3948.10, -917.90
-3948.10, -717.90
-3948.10, -517.90
-3948.10, -317.90
-3948.10, -117.90
-3948.10, 82.10
-3748.10, 82.10
